	ID	sex	title_ref	norm	related ID	rel_sex	collection	xml	year	date	from	to
0	pe__stephan_steinimmo_StB_I_453	m	purger ze Wienn	Buerger_in	org__wien	 	1_1395-1400	109.xml	1397	1397-02-08		
1	pe__simon_chottrer_StB_I_113	m	purger	Buerger_in	org__wien	 	1_1395-1400	113.xml	1397	1397-02-15		
2	pe__jakob_dorn_QGW_II_I_1378	m	purgermaister	Buergermeister	org__wien	 	1_1395-1400	211.xml	1391	1391-12-15		
3	pe__johann_mosprunner_QGW_II_I_1096	m	purger	Buerger_in	org__wien	 	1_1395-1400	26.xml	1396	1396-01-18		
4	pe__ulrich_von_steyr_SB_CD_00625	m	purger	Buerger_in	org__wien	 	1_1395-1400	29.xml	1396	1396-01-20		
5	pe__jakob_StB_I_4	m	curherren	 	org__wien-st_stephan	 	1_1395-1400	4.xml	1395	1395-12-02		
6	pe__stephan_StB_I_4	m	curherren	 	org__wien-st_stephan	 	1_1395-1400	4.xml	1395	1395-12-02		
7	pe__simon_gloesar_StB_I_421	m	auzzern rates	 	org__wien	 	1_1395-1400	421.xml	1399	1399-09-16		
8	pe__christian_goczchirch_QGW_II_I_1308	m	purger	Buerger_in	org__wien	 	1_1395-1400	428.xml	1399	1399-09-26		
9	pe__niklas_hildebrant_QGW_II_I_1519	m	purger	Buerger_in	org__zittau	 	1_1395-1400	428.xml	1399	1399-09-26		
10	pe__johann_pechrer_StB_I_428	m	purger	Buerger_in	org__zittau	 	1_1395-1400	428.xml	1399	1399-09-26		
11	pe__peter_frizz_StB_I_428	m	purger	Buerger_in	org__zittau	 	1_1395-1400	428.xml	1399	1399-09-26		
12	pe__peter_strang_StB_I_439	m	mitpurger	Buerger_in	org__wien	 	1_1395-1400	439.xml	1399	1399-10-07		
13	pe__niklas_ellent_StB_I_440	m	bruder	Bruder	org__wien-dominikaner	 	1_1395-1400	440.xml	1399	1399-11-06		
14	pe__niklas_ellent_StB_I_440	m	bruder	Bruder	org__wien-dominikaner	 	1_1395-1400	440.xml	1399	1399-11-06		
15	pe__balther_StB_I_444	m	bruder	Bruder	org__wien-augustiner_eremiten	 	1_1395-1400	444.xml	1399	1399-11-13		
16	pe__wenzel_leinwander_StB_I_56	m	unserm mitpurger	 	org__prag	 	1_1395-1400	56.xml	1396	1396-04-21		
17	pe__wenzel_goldschmied_StB_I_56	m	unserm mitburger	 	org__prag	 	1_1395-1400	56.xml	1396	1396-04-21		
18	pe__johann_bei_dem_brunnen_StB_I_58	m	purger ze Wienn	Buerger_in	org__wien	 	1_1395-1400	58.xml	1396	1396-05-02		
19	pe__gottschalk_birkesdorfer_StB_I_58	m	purger ze Chöln an dem Rein	 	org__koeln	 	1_1395-1400	58.xml	1396	1396-05-02		
20	pe__meinhard_olmuetzer_StB_I_59	m	purgern ze Wienn	 	org__wien	 	1_1395-1400	59.xml	1396	1396-06-06		
21	pe__rudolf_lupan_StB_I_59	m	purgern ze Wienn	 	org__wien	 	1_1395-1400	59.xml	1396	1396-06-06		
22	pe__andreas_graefenauer_StB_I_24	m	ewr mitpurger	 	org__wien	 	1_1395-1400	65.xml	1396	1396-07-24		
23	pe__michael_vinkch_QGW_II_I_1082	m	die zeit des rats der stat ze Wienn	 	org__wien	 	1_1395-1400	70.xml	1392	1392-08-31		
24	pe__heinrich_von_emmersdorf_QGW_II_I_1081	m	purger zu Wienn	Buerger_in	org__wien	 	1_1395-1400	70.xml	1392	1392-08-31		
25	pe__niklas_radschmied_QGW_II_I_1062	m	die zeit des rats der stat ze Wienn	 	org__wien	 	1_1395-1400	73.xml	1396	1396-08-17		
26	pe__niklas_rorcholb_QGW_II_I_1129	m	unserm mitpurger	 	org__wien	 	1_1395-1400	74.xml	1396	1396-07-15		
27	pe__stephan_leitner_QGW_II_I_1012	m	purger ze Wienn	Buerger_in	org__wien	 	1_1395-1400	95.xml	1396	1396-12-02		
